,Unnamed: 0,COD,DO,EC,NO3,N2,TSS,TEMP,PH
0,0,"((1, 0, 0), (2, 2, 0, 12), 64.98185939177296)","((1, 1, 1), (2, 2, 0, 12), 55.4344148724474)","((0, 2, 1), (1, 2, 1, 12), 9.481481481481481)","((0, 0, 0), (1, 0, 1, 12), 1.420508353356885)","((2, 1, 1), (0, 2, 1, 12), 12.222222222222221)","((1, 2, 1), (0, 2, 1, 12), 9.481481481481481)","((0, 1, 1), (0, 2, 2, 12), 63.10911786562362)","((0, 1, 2), (1, 2, 2, 12), 24.08852691785097)"
1,1,"((0, 0, 0), (0, 2, 2, 12), 65.39626702873508)","((2, 0, 2), (2, 2, 0, 12), 55.695987034213644)","((0, 2, 1), (2, 2, 1, 12), 13.75)","((0, 0, 0), (0, 1, 1, 12), 1.9358363925431865)","((2, 1, 1), (1, 2, 1, 12), 15.23076923076923)","((0, 2, 2), (0, 2, 1, 12), 9.538461538461538)","((0, 2, 2), (0, 2, 2, 12), 64.09795624390058)","((1, 1, 2), (0, 1, 2, 12), 28.45467216403275)"
2,2,"((1, 0, 2), (0, 2, 2, 12), 65.90055159478325)","((0, 1, 1), (0, 2, 2, 12), 56.00504888132679)","((0, 2, 2), (0, 2, 2, 12), 222.94364387754553)","((0, 0, 0), (1, 1, 0, 12), 1.9393466300294468)","((2, 0, 1), (2, 2, 1, 12), 22.0)","((2, 0, 1), (0, 2, 1, 12), 12.142857142857142)","((0, 1, 2), (0, 2, 2, 12), 64.88416645907614)","((1, 1, 2), (1, 2, 2, 12), 29.840891652114607)"
3,3,"((0, 0, 0), (2, 2, 0, 12), 66.71390979706099)","((2, 0, 1), (2, 2, 0, 12), 56.04649298630886)","((1, 2, 2), (0, 2, 2, 12), 223.20608994385657)","((1, 0, 0), (1, 0, 1, 12), 3.4504814996238844)","((2, 1, 1), (2, 2, 1, 12), 22.615384615384617)","((1, 2, 2), (0, 2, 1, 12), 12.4)","((1, 1, 0), (0, 2, 2, 12), 66.26319161515828)","((0, 2, 2), (0, 1, 2, 12), 32.08182930692038)"
4,4,"((0, 0, 0), (1, 2, 2, 12), 66.77326921039173)","((0, 0, 2), (0, 2, 2, 12), 56.954598582291496)","((0, 2, 2), (1, 2, 2, 12), 226.51692322024502)","((0, 0, 0), (1, 1, 1, 12), 3.482422056492399)","((0, 0, 1), (0, 2, 2, 12), 52.90695720053328)","((2, 0, 1), (1, 2, 1, 12), 15.11111111111111)","((1, 1, 1), (0, 2, 2, 12), 66.60741600857851)","((0, 1, 1), (0, 1, 2, 12), 32.25826347766892)"
5,5,"((2, 0, 0), (2, 2, 0, 12), 66.84325549028165)","((2, 0, 2), (0, 2, 2, 12), 56.956278864165384)","((1, 2, 2), (1, 2, 2, 12), 227.49329755039267)","((1, 0, 0), (1, 1, 0, 12), 3.51637232795486)","((0, 0, 0), (0, 2, 2, 12), 52.96767014137002)","((1, 2, 2), (1, 2, 1, 12), 15.5)","((0, 1, 1), (1, 2, 2, 12), 66.60927138468017)","((2, 2, 2), (0, 0, 2, 12), 32.3293096311576)"
6,6,"((0, 0, 1), (0, 2, 2, 12), 66.9326894023843)","((1, 1, 1), (1, 2, 2, 12), 57.26319237076066)","((2, 2, 2), (0, 2, 2, 12), 228.32919276800064)","((0, 0, 1), (1, 1, 0, 12), 3.5994007115106923)","((0, 0, 0), (2, 2, 0, 12), 53.17940831689693)","((2, 0, 1), (2, 2, 1, 12), 22.0)","((1, 1, 0), (2, 2, 0, 12), 66.80188161674499)","((0, 1, 1), (0, 2, 2, 12), 32.770486922960444)"
7,7,"((0, 1, 1), (0, 2, 2, 12), 67.32139335511523)","((0, 2, 2), (0, 2, 2, 12), 57.79839102441546)","((0, 1, 2), (0, 2, 2, 12), 228.34458700193028)","((1, 0, 0), (0, 1, 1, 12), 3.7347896672108463)","((0, 0, 0), (1, 2, 2, 12), 53.32260634085525)","((0, 2, 2), (1, 2, 1, 12), 96.09329432548557)","((1, 0, 2), (0, 2, 2, 12), 67.40596102987489)","((1, 0, 0), (2, 1, 0, 12), 32.82501345977866)"
8,8,"((0, 0, 1), (1, 2, 2, 12), 67.92939608353612)","((0, 1, 2), (0, 2, 2, 12), 58.116739215197136)","((1, 2, 1), (0, 2, 2, 12), 229.14219536297992)","((0, 0, 0), (2, 1, 0, 12), 3.780164942185359)","((0, 2, 2), (0, 2, 2, 12), 53.86496231886865)","((0, 2, 2), (0, 2, 2, 12), 198.98352988416272)","((1, 2, 1), (0, 2, 2, 12), 67.50706816505833)","((1, 0, 1), (0, 1, 2, 12), 33.203468153637516)"
9,9,"((2, 0, 2), (0, 2, 2, 12), 68.23859234503546)","((1, 1, 0), (2, 2, 0, 12), 58.126395953847215)","((1, 1, 2), (0, 2, 2, 12), 231.39770313001938)","((0, 0, 2), (1, 1, 0, 12), 3.8766037380026708)","((2, 0, 2), (0, 2, 2, 12), 53.884019243259615)","((2, 2, 2), (0, 2, 2, 12), 201.17218775674394)","((2, 2, 1), (0, 2, 2, 12), 67.52958223283622)","((0, 0, 1), (2, 1, 0, 12), 33.27568926096664)"
10,10,"((1, 0, 1), (2, 2, 0, 12), 68.27645805005945)","((0, 1, 0), (2, 2, 2, 12), 58.23052885833835)","((0, 2, 2), (2, 2, 2, 12), 231.6972740606222)","((0, 0, 0), (0, 1, 2, 12), 3.938530412385119)","((1, 0, 0), (2, 2, 0, 12), 54.89914778530504)","((1, 2, 2), (0, 2, 2, 12), 203.2732304914002)","((2, 1, 0), (2, 2, 0, 12), 67.54733957772699)","((1, 0, 1), (2, 1, 0, 12), 33.43840417919745)"
11,11,"((1, 0, 0), (0, 2, 2, 12), 68.353320007534)","((2, 1, 2), (1, 2, 2, 12), 58.27037278123427)","((0, 1, 2), (2, 2, 2, 12), 232.55323336660405)","((0, 0, 0), (2, 0, 0, 12), 4.039330920840463)","((0, 1, 1), (0, 2, 2, 12), 54.928067179695276)","((2, 1, 2), (0, 2, 2, 12), 206.29286756016674)","((1, 1, 0), (2, 2, 2, 12), 67.60994049623329)","((2, 0, 0), (2, 1, 0, 12), 33.74822750623896)"
12,12,"((0, 0, 2), (0, 2, 2, 12), 68.37358206426092)","((1, 1, 0), (0, 2, 2, 12), 58.36533514544988)","((2, 2, 1), (0, 2, 2, 12), 232.83504559340517)","((1, 0, 1), (1, 0, 1, 12), 4.110702497316324)","((0, 0, 1), (1, 2, 2, 12), 54.98842223840428)","((0, 2, 2), (2, 2, 2, 12), 208.58135576421364)","((2, 1, 0), (0, 2, 2, 12), 67.6308818640848)","((0, 1, 1), (2, 1, 0, 12), 33.79343824947449)"
13,13,"((0, 1, 2), (0, 2, 2, 12), 69.34030445652493)","((1, 0, 0), (0, 2, 2, 12), 58.562618631774164)","((1, 2, 1), (1, 2, 2, 12), 232.95997517925625)","((0, 0, 1), (1, 0, 1, 12), 4.141650014233672)","((1, 0, 0), (0, 2, 2, 12), 55.226462337670156)","((0, 2, 2), (1, 2, 2, 12), 208.83370867205582)","((1, 2, 2), (0, 2, 2, 12), 67.93951091588258)","((2, 1, 0), (2, 2, 0, 12), 33.98014156849954)"
14,14,"((1, 1, 0), (2, 2, 0, 12), 69.35703621319217)","((1, 0, 0), (2, 2, 0, 12), 58.6791417606143)","((0, 1, 2), (1, 2, 2, 12), 233.12869317777358)","((0, 0, 1), (0, 1, 1, 12), 4.24470447306933)","((0, 0, 2), (0, 2, 2, 12), 55.50290752326304)","((0, 1, 2), (0, 2, 2, 12), 208.99060192641863)","((2, 0, 0), (2, 2, 0, 12), 68.21044117623907)","((1, 0, 2), (0, 1, 2, 12), 33.99114160099025)"
15,15,"((1, 0, 1), (0, 2, 2, 12), 69.45425612315182)","((2, 0, 0), (2, 2, 0, 12), 58.75581751666491)","((1, 2, 2), (2, 2, 2, 12), 233.7027050507838)","((0, 0, 0), (2, 0, 1, 12), 4.980627469360094)","((0, 1, 1), (1, 2, 2, 12), 55.6667368513463)","((1, 1, 2), (0, 2, 2, 12), 210.4196390566027)","((0, 2, 1), (0, 2, 2, 12), 68.5346407439745)","((2, 1, 0), (0, 2, 2, 12), 34.04995600109251)"
16,16,"((0, 0, 1), (2, 2, 0, 12), 69.57894878332802)","((2, 1, 0), (2, 2, 0, 12), 58.92895265167047)","((2, 2, 2), (1, 2, 2, 12), 233.91683814517145)","((2, 0, 2), (1, 1, 0, 12), 5.2804455060782995)","((0, 1, 1), (0, 1, 2, 12), 55.69932626074092)","((2, 2, 1), (0, 2, 2, 12), 212.1640834646394)","((0, 1, 0), (0, 2, 2, 12), 68.7444912550312)","((0, 1, 1), (2, 2, 0, 12), 34.08121101505698)"
17,17,"((0, 2, 2), (0, 2, 2, 12), 69.6780629217644)","((1, 2, 1), (0, 2, 2, 12), 58.96681764323763)","((2, 2, 1), (2, 2, 0, 12), 234.7003137643206)","((1, 0, 0), (1, 1, 1, 12), 5.309556393926172)","((0, 0, 1), (2, 2, 0, 12), 55.797243837635705)","((1, 2, 2), (1, 2, 2, 12), 213.45840026261635)","((1, 1, 2), (0, 2, 2, 12), 68.8250268768619)","((1, 1, 2), (0, 0, 2, 12), 34.2155439021441)"
18,18,"((0, 0, 0), (2, 2, 2, 12), 69.68075059299044)","((0, 1, 1), (1, 2, 2, 12), 58.96963987507897)","((0, 0, 2), (0, 2, 2, 12), 234.7351143438013)","((0, 1, 1), (1, 0, 0, 12), 5.372976607917056)","((2, 0, 0), (2, 2, 0, 12), 55.91766667837903)","((2, 2, 1), (2, 2, 0, 12), 214.78800217447025)","((0, 0, 2), (0, 2, 2, 12), 69.1151618659015)","((1, 1, 0), (2, 2, 0, 12), 34.23269383944875)"
19,19,"((2, 1, 0), (2, 2, 0, 12), 69.90336716732018)","((1, 1, 0), (1, 2, 2, 12), 59.15909843858641)","((1, 1, 2), (1, 2, 2, 12), 235.8625539357363)","((2, 0, 0), (1, 1, 0, 12), 5.457727262655993)","((0, 1, 2), (0, 2, 2, 12), 56.113290148102195)","((0, 1, 1), (0, 2, 2, 12), 214.87196830711738)","((1, 1, 1), (2, 2, 0, 12), 69.62160851590696)","((0, 0, 1), (0, 1, 2, 12), 34.32619907891744)"
20,20,"((1, 0, 0), (1, 2, 2, 12), 69.95069343178714)","((1, 1, 2), (2, 2, 0, 12), 59.27333840042047)","((2, 1, 2), (0, 2, 2, 12), 236.26944408857588)","((0, 0, 0), (2, 1, 1, 12), 5.584895777349688)","((1, 0, 1), (0, 2, 2, 12), 56.304015225840196)","((2, 2, 2), (1, 2, 2, 12), 214.90282924175364)","((0, 0, 1), (0, 2, 2, 12), 69.62668676601902)","((0, 1, 2), (0, 2, 2, 12), 34.476694653240564)"
21,21,"((2, 0, 1), (2, 2, 0, 12), 70.14145302695565)","((1, 1, 1), (0, 2, 2, 12), 59.39546698194426)","((1, 1, 1), (0, 2, 2, 12), 236.71879268637147)","((1, 0, 2), (1, 1, 0, 12), 5.637343839129247)","((0, 0, 2), (1, 2, 2, 12), 56.44217033283503)","((0, 2, 1), (0, 2, 2, 12), 214.95132464337465)","((0, 2, 2), (1, 2, 2, 12), 69.84385625783973)","((2, 1, 0), (2, 1, 0, 12), 34.500475437619855)"
22,22,"((0, 1, 1), (1, 2, 2, 12), 70.34316054206634)","((1, 1, 2), (0, 2, 2, 12), 59.5123208685317)","((2, 2, 0), (2, 2, 0, 12), 236.7917770353741)","((0, 0, 1), (2, 0, 0, 12), 5.660191461663495)","((1, 0, 0), (1, 2, 2, 12), 56.628306833798085)","((0, 0, 2), (0, 2, 2, 12), 215.11210639861463)","((2, 1, 1), (0, 2, 2, 12), 69.95805207051589)","((0, 2, 2), (0, 2, 2, 12), 34.592582889108805)"
23,23,"((1, 1, 1), (2, 2, 0, 12), 70.47317413970174)","((0, 1, 1), (2, 2, 0, 12), 59.63781332157652)","((0, 1, 1), (0, 2, 2, 12), 237.10819554303347)","((1, 0, 0), (2, 0, 0, 12), 5.660908634026905)","((0, 0, 0), (2, 2, 2, 12), 57.09094906130673)","((0, 1, 2), (1, 2, 2, 12), 215.30513895100228)","((2, 0, 0), (0, 2, 2, 12), 70.06345100114031)","((1, 2, 2), (0, 1, 2, 12), 34.616388907884414)"
24,24,"((1, 0, 2), (2, 2, 2, 12), 70.54757992658904)","((0, 0, 1), (0, 2, 2, 12), 59.659684440423774)","((0, 0, 2), (1, 2, 2, 12), 237.20409843034136)","((0, 0, 1), (1, 1, 1, 12), 5.755168789230421)","((0, 1, 1), (2, 2, 0, 12), 57.585827486469526)","((0, 1, 2), (2, 2, 2, 12), 215.4453077253814)","((0, 1, 2), (1, 2, 2, 12), 70.2162473928787)","((1, 1, 0), (0, 2, 2, 12), 34.76213979663182)"
25,25,"((0, 0, 2), (1, 2, 2, 12), 70.60544916211666)","((0, 0, 2), (1, 2, 2, 12), 59.71506545640016)","((1, 0, 2), (0, 2, 2, 12), 237.48661016144206)","((1, 0, 1), (1, 1, 0, 12), 5.796191684431463)","((0, 0, 2), (2, 2, 0, 12), 57.83684549571476)","((2, 2, 1), (2, 2, 1, 12), 215.87669197010484)","((2, 1, 2), (0, 2, 2, 12), 70.47788387573677)","((1, 0, 1), (1, 2, 2, 12), 34.79826671243029)"
26,26,"((0, 1, 1), (2, 2, 0, 12), 70.6695248168005)","((1, 0, 1), (0, 2, 2, 12), 59.74722984574671)","((2, 2, 1), (1, 2, 2, 12), 237.51754790145182)","((0, 1, 1), (1, 0, 1, 12), 5.834333398845119)","((0, 0, 0), (2, 1, 0, 12), 57.932044926577404)","((2, 1, 0), (2, 2, 0, 12), 216.26976741482346)","((0, 1, 1), (2, 2, 0, 12), 70.53549320112427)","((0, 2, 2), (0, 0, 2, 12), 34.814448961009916)"
27,27,"((1, 1, 0), (0, 2, 2, 12), 70.78338773696692)","((0, 2, 1), (2, 2, 2, 12), 59.80094893971618)","((1, 2, 1), (2, 2, 2, 12), 237.82204242371375)","((0, 0, 0), (1, 1, 2, 12), 5.855261604189568)","((1, 1, 1), (0, 2, 2, 12), 57.99468162459782)","((2, 2, 2), (2, 2, 0, 12), 216.32102437341723)","((1, 1, 0), (1, 2, 2, 12), 70.58535603594028)","((0, 0, 0), (2, 1, 0, 12), 34.839099614584256)"
28,28,"((0, 0, 1), (2, 2, 2, 12), 70.9318363393773)","((2, 0, 1), (0, 2, 2, 12), 59.86589909476167)","((2, 1, 0), (2, 2, 0, 12), 238.1773560073865)","((0, 1, 1), (0, 0, 0, 12), 5.897144289613552)","((0, 1, 2), (0, 1, 2, 12), 58.03126009323006)","((2, 1, 1), (0, 2, 2, 12), 216.38773371856823)","((2, 2, 1), (2, 2, 0, 12), 70.70175266163551)","((0, 1, 2), (0, 1, 2, 12), 34.86783515991148)"
29,29,"((1, 1, 1), (0, 2, 2, 12), 71.00037511968443)","((1, 2, 2), (0, 2, 2, 12), 60.022284424640375)","((2, 2, 2), (2, 2, 0, 12), 239.22017071832713)","((2, 0, 0), (0, 1, 1, 12), 6.010809147386263)","((1, 0, 1), (2, 2, 0, 12), 58.119187020529615)","((1, 2, 1), (0, 2, 2, 12), 217.04761429784816)","((2, 1, 1), (2, 2, 0, 12), 70.949874490941)","((0, 1, 1), (1, 1, 2, 12), 34.96053214363602)"
30,30,"((1, 0, 2), (2, 2, 0, 12), 71.17403705006647)","((2, 0, 0), (0, 2, 2, 12), 60.0533862529423)","((2, 1, 1), (0, 2, 2, 12), 239.73583229286572)","((0, 0, 2), (2, 0, 0, 12), 6.156806403780085)","((1, 1, 1), (2, 2, 0, 12), 58.19074953059832)","((1, 0, 2), (0, 2, 2, 12), 217.63445259531267)","((1, 0, 1), (0, 2, 2, 12), 70.95346454686108)","((0, 1, 2), (2, 2, 0, 12), 35.01526486627083)"
31,31,"((0, 1, 2), (2, 2, 2, 12), 71.27153224436043)","((1, 2, 1), (1, 2, 2, 12), 60.18007197982213)","((0, 1, 1), (1, 2, 2, 12), 239.84230473917424)","((2, 1, 0), (1, 0, 2, 12), 6.217610014044952)","((0, 0, 0), (0, 1, 2, 12), 58.25520432805174)","((0, 1, 1), (1, 2, 2, 12), 218.32739488406625)","((2, 0, 2), (0, 2, 2, 12), 70.98285860565504)","((0, 1, 1), (1, 2, 2, 12), 35.023906573879046)"
32,32,"((2, 0, 0), (0, 2, 2, 12), 71.34302392429515)","((1, 2, 1), (2, 2, 0, 12), 60.50392501398852)","((2, 1, 2), (1, 2, 2, 12), 240.16242125260047)","((0, 0, 1), (2, 1, 0, 12), 6.233477032356777)","((2, 0, 0), (0, 2, 2, 12), 58.2885804678747)","((1, 1, 1), (0, 2, 2, 12), 218.36752041631698)","((0, 1, 1), (2, 2, 2, 12), 71.08269377011402)","((1, 1, 1), (0, 1, 2, 12), 35.051887863735715)"
33,33,"((2, 1, 1), (2, 2, 0, 12), 71.41924788240499)","((0, 0, 2), (2, 2, 0, 12), 60.5842394354085)","((1, 1, 1), (1, 2, 2, 12), 240.50271858099964)","((0, 0, 2), (1, 0, 1, 12), 6.236211920392923)","((1, 1, 1), (0, 1, 2, 12), 58.28886088761366)","((2, 2, 1), (1, 2, 2, 12), 218.82082450142704)","((2, 0, 1), (0, 2, 2, 12), 71.13315710099853)","((1, 0, 1), (0, 2, 2, 12), 35.070585213027385)"
34,34,"((1, 2, 1), (0, 2, 2, 12), 71.46277991039848)","((2, 1, 2), (2, 2, 0, 12), 60.612421124038605)","((0, 2, 1), (0, 2, 2, 12), 240.71156675930035)","((2, 0, 0), (1, 0, 1, 12), 6.392362996173141)","((0, 1, 2), (1, 2, 2, 12), 58.38464455464029)","((0, 0, 2), (1, 2, 2, 12), 219.0585532189474)","((0, 0, 0), (0, 2, 2, 12), 71.3190009468183)","((1, 1, 1), (0, 2, 2, 12), 35.14494996080602)"
35,35,"((1, 0, 1), (1, 2, 2, 12), 71.77854642900775)","((0, 1, 0), (0, 2, 2, 12), 60.747982136345264)","((2, 2, 2), (2, 2, 2, 12), 241.4995427003235)","((1, 0, 0), (0, 1, 2, 12), 6.4843132114613375)","((0, 1, 1), (1, 1, 2, 12), 58.420633185619835)","((2, 2, 1), (2, 2, 2, 12), 219.1924792436869)","((2, 2, 2), (0, 2, 2, 12), 71.31965684187695)","((0, 0, 1), (1, 1, 2, 12), 35.2016423296552)"
36,36,"((1, 0, 0), (2, 2, 2, 12), 72.00010306657833)","((1, 0, 1), (2, 2, 0, 12), 60.825027241467325)","((1, 1, 2), (2, 2, 2, 12), 241.61005552220394)","((1, 0, 2), (0, 1, 2, 12), 6.5604789772239815)","((0, 2, 2), (1, 2, 2, 12), 58.45693898036187)","((1, 1, 2), (1, 2, 2, 12), 219.42613848764418)","((2, 2, 0), (2, 2, 0, 12), 71.36500714764824)","((2, 2, 2), (1, 0, 2, 12), 35.2554607947564)"
37,37,"((0, 1, 1), (2, 2, 2, 12), 72.09464281049354)","((0, 0, 1), (1, 2, 2, 12), 60.86920652293641)","((0, 0, 2), (2, 2, 2, 12), 241.7469709239047)","((1, 0, 1), (0, 1, 1, 12), 6.64334208925174)","((0, 1, 1), (2, 1, 0, 12), 58.750529926144104)","((2, 1, 1), (2, 2, 0, 12), 219.50372304316)","((1, 0, 2), (2, 2, 0, 12), 71.60813018638922)","((1, 0, 2), (1, 2, 2, 12), 35.29608211326343)"
38,38,"((0, 0, 2), (2, 2, 0, 12), 72.17928039214563)","((0, 2, 1), (0, 2, 2, 12), 60.898137817660476)","((1, 0, 2), (1, 2, 2, 12), 241.8188901655348)","((1, 0, 0), (2, 1, 0, 12), 6.71087928078718)","((1, 0, 1), (1, 2, 2, 12), 58.81058353888539)","((0, 0, 1), (0, 2, 2, 12), 219.9677399312533)","((1, 0, 1), (1, 2, 2, 12), 71.83399539241579)","((0, 0, 2), (2, 1, 0, 12), 35.37380551781556)"
39,39,"((2, 0, 2), (2, 2, 0, 12), 72.50699746251286)","((1, 1, 2), (1, 2, 2, 12), 61.12218336478993)","((2, 0, 2), (0, 2, 2, 12), 241.98409470681005)","((0, 0, 1), (2, 0, 1, 12), 6.771046282313115)","((0, 0, 1), (2, 2, 2, 12), 58.87381593653623)","((1, 0, 1), (0, 2, 2, 12), 220.72984813997283)","((2, 0, 1), (2, 2, 0, 12), 71.89140583892299)","((0, 2, 2), (1, 2, 2, 12), 35.40351212083485)"
40,40,"((1, 1, 2), (0, 2, 2, 12), 72.56707313414518)","((0, 1, 1), (0, 1, 2, 12), 61.336101443624685)","((2, 1, 1), (2, 2, 0, 12), 242.16856588586967)","((0, 0, 2), (0, 1, 2, 12), 6.814855530364918)","((1, 0, 2), (0, 2, 2, 12), 59.40119019105676)","((1, 1, 2), (2, 2, 2, 12), 220.8035053176308)","((0, 1, 0), (1, 2, 2, 12), 71.90674575290706)","((1, 0, 0), (2, 1, 1, 12), 35.56021191241582)"
41,41,"((0, 1, 2), (1, 2, 2, 12), 72.86181063365049)","((0, 0, 2), (0, 1, 2, 12), 61.39713957385178)","((1, 2, 1), (2, 2, 0, 12), 242.83950827791014)","((1, 0, 2), (1, 0, 1, 12), 6.860843121304259)","((0, 2, 2), (0, 1, 2, 12), 59.423094174366874)","((2, 0, 2), (0, 2, 2, 12), 221.17619702735013)","((1, 1, 1), (1, 2, 2, 12), 71.99525504753015)","((2, 0, 1), (2, 1, 0, 12), 35.63567524493843)"
42,42,"((1, 2, 2), (0, 2, 2, 12), 73.07402332588433)","((1, 2, 2), (1, 2, 2, 12), 61.58973275053957)","((2, 2, 1), (2, 2, 2, 12), 243.27456943768985)","((1, 0, 1), (0, 1, 2, 12), 6.94477890845807)","((1, 0, 0), (2, 1, 0, 12), 59.50037177687441)","((1, 2, 2), (2, 2, 2, 12), 221.1989902926071)","((1, 0, 0), (0, 2, 2, 12), 72.00373287705838)","((1, 1, 1), (2, 1, 0, 12), 35.71924875508543)"
43,43,"((2, 0, 1), (0, 2, 2, 12), 73.21104052675427)","((1, 0, 2), (1, 2, 2, 12), 61.613993504123286)","((2, 1, 1), (1, 2, 2, 12), 243.43057443611943)","((0, 0, 1), (0, 1, 2, 12), 7.000272402325981)","((1, 0, 1), (0, 0, 2, 12), 59.610865852471186)","((2, 2, 0), (2, 2, 0, 12), 221.20585504052485)","((2, 1, 0), (1, 2, 2, 12), 72.07995546648019)","((2, 0, 0), (2, 2, 0, 12), 35.7384818785426)"
44,44,"((0, 0, 2), (2, 2, 2, 12), 73.2957232676946)","((1, 0, 0), (1, 2, 2, 12), 61.63876434049623)","((0, 1, 1), (2, 2, 2, 12), 243.83695831934676)","((0, 1, 1), (0, 1, 2, 12), 7.0467999442861755)","((1, 1, 1), (1, 2, 2, 12), 59.66484513836119)","((2, 2, 0), (2, 2, 1, 12), 221.21656582139266)","((2, 0, 2), (2, 2, 0, 12), 72.14450319954905)","((1, 1, 1), (2, 2, 0, 12), 35.745992752030276)"
45,45,"((2, 0, 0), (1, 2, 2, 12), 73.53221134953453)","((1, 0, 2), (0, 2, 2, 12), 61.6596398248885)","((1, 1, 0), (0, 2, 2, 12), 244.46358352081066)","((0, 0, 0), (1, 0, 2, 12), 7.06661323486336)","((0, 1, 1), (0, 0, 2, 12), 59.688733518553576)","((0, 1, 1), (2, 2, 2, 12), 221.39906819064936)","((1, 2, 1), (2, 2, 0, 12), 72.28271069001157)","((0, 0, 1), (2, 1, 1, 12), 35.786709579004665)"
46,46,"((2, 1, 2), (2, 2, 0, 12), 73.76025367355942)","((2, 1, 0), (0, 2, 2, 12), 61.75145135262597)","((0, 2, 1), (1, 2, 2, 12), 244.6728124607486)","((1, 0, 1), (2, 1, 0, 12), 7.172167000829327)","((0, 0, 2), (2, 2, 2, 12), 59.91739797884928)","((0, 2, 1), (1, 2, 2, 12), 221.43301021595582)","((0, 2, 1), (1, 2, 2, 12), 72.41797016466118)","((0, 0, 0), (0, 2, 2, 12), 35.7965098646188)"
47,47,"((1, 1, 1), (1, 2, 2, 12), 73.84940381549134)","((2, 1, 1), (1, 2, 2, 12), 61.832051891141845)","((1, 1, 1), (2, 2, 2, 12), 245.09841912755562)","((1, 0, 2), (0, 1, 1, 12), 7.233657793004451)","((1, 0, 1), (0, 1, 2, 12), 59.94611309976506)","((2, 1, 0), (2, 2, 2, 12), 222.23306350395106)","((1, 0, 2), (1, 2, 2, 12), 72.56205415603702)","((1, 0, 1), (1, 1, 2, 12), 35.85307054355463)"
48,48,"((2, 1, 1), (0, 2, 2, 12), 73.89021931770276)","((0, 1, 2), (1, 2, 2, 12), 61.8443666205008)","((2, 1, 0), (2, 2, 2, 12), 245.26341976019512)","((0, 1, 2), (0, 0, 0, 12), 7.409541749841511)","((0, 0, 1), (0, 1, 2, 12), 59.9481287152068)","((1, 1, 1), (1, 2, 2, 12), 222.311063868657)","((1, 0, 1), (2, 2, 0, 12), 72.62014663448964)","((1, 0, 0), (0, 1, 2, 12), 35.87959402156111)"
49,49,"((0, 1, 2), (2, 2, 0, 12), 73.91242341956655)","((0, 1, 0), (2, 2, 0, 12), 61.90292392562752)","((2, 2, 0), (2, 2, 2, 12), 245.55748232758646)","((0, 0, 2), (1, 1, 1, 12), 7.441256051701991)","((2, 0, 0), (1, 2, 2, 12), 59.969355361133466)","((0, 0, 2), (2, 2, 2, 12), 222.51516037386028)","((0, 1, 2), (2, 2, 2, 12), 72.7714558966899)","((0, 0, 0), (0, 1, 2, 12), 35.915673969855334)"
50,50,"((2, 1, 0), (0, 2, 2, 12), 74.18643254098404)","((1, 2, 2), (2, 2, 0, 12), 61.94120894793464)","((2, 1, 2), (2, 2, 0, 12), 245.88460221238626)","((0, 0, 0), (2, 0, 2, 12), 7.479447335470592)","((0, 1, 1), (2, 2, 2, 12), 60.073255323482165)","((2, 2, 2), (2, 2, 1, 12), 222.57259027707093)","((0, 1, 2), (2, 2, 0, 12), 72.78614023312882)","((2, 1, 0), (0, 1, 2, 12), 35.964580684364904)"
51,51,"((1, 1, 2), (2, 2, 0, 12), 74.20184701148301)","((2, 1, 0), (1, 2, 2, 12), 62.03606223789265)","((1, 1, 0), (2, 2, 0, 12), 245.889637647232)","((1, 0, 0), (2, 0, 1, 12), 7.50210380385824)","((2, 0, 1), (2, 2, 0, 12), 60.09181073253113)","((2, 1, 2), (1, 2, 2, 12), 222.6917323023289)","((1, 0, 0), (2, 2, 0, 12), 72.89617293915)","((0, 1, 1), (2, 1, 1, 12), 36.0556900000628)"
52,52,"((2, 2, 1), (0, 2, 2, 12), 74.23665240859266)","((2, 1, 1), (2, 2, 0, 12), 62.07521119431731)","((2, 0, 0), (2, 2, 0, 12), 246.20534204988138)","((1, 1, 1), (0, 0, 0, 12), 7.580204891306254)","((2, 0, 1), (0, 2, 2, 12), 60.097485798703886)","((0, 2, 1), (2, 2, 2, 12), 222.74508577630127)","((0, 0, 2), (1, 2, 2, 12), 73.11522745765036)","((0, 1, 2), (2, 1, 0, 12), 36.07120919542009)"
53,53,"((2, 0, 0), (2, 2, 2, 12), 74.50640269101075)","((0, 2, 2), (1, 2, 2, 12), 62.1388657823318)","((1, 2, 2), (2, 2, 0, 12), 246.38930277095866)","((0, 0, 0), (0, 1, 0, 12), 7.654660853997612)","((0, 0, 1), (2, 1, 0, 12), 60.10849579541589)","((2, 1, 2), (2, 2, 0, 12), 222.74616824998225)","((1, 1, 2), (2, 2, 0, 12), 73.14135991865008)","((1, 0, 1), (2, 1, 1, 12), 36.11846430120507)"
54,54,"((0, 2, 1), (0, 2, 2, 12), 74.53339945016893)","((0, 0, 0), (0, 2, 2, 12), 62.19148324256361)","((2, 0, 2), (1, 2, 2, 12), 246.74672422014052)","((1, 0, 1), (1, 0, 0, 12), 7.658435628971986)","((0, 0, 0), (1, 1, 2, 12), 60.123041270118215)","((2, 2, 2), (2, 2, 2, 12), 223.35745771152705)","((1, 2, 1), (1, 2, 2, 12), 73.1613270499846)","((1, 0, 1), (2, 0, 0, 12), 36.12035422449796)"
