,Unnamed: 0,COD,DO,EC,NO3,N2,TSS,TEMP,PH
702,702,"((2, 2, 1), (0, 2, 1, 12), 1365.5981963048725)","((2, 1, 2), (1, 2, 1, 12), 1294.581947467746)","((2, 1, 0), (1, 2, 1, 12), 1375.9881355860734)","((1, 1, 0), (1, 2, 1, 12), 1248.4673732896842)","((0, 2, 2), (1, 2, 1, 12), 1208.7789453070616)","((2, 0, 2), (0, 2, 1, 12), 1352.679931099989)","((0, 1, 0), (1, 2, 1, 12), 1299.5230244734362)","((1, 1, 2), (0, 2, 1, 12), 1379.3792683577667)"
703,703,"((1, 0, 1), (1, 2, 1, 12), 1367.7636435130016)","((0, 1, 2), (0, 2, 1, 12), 1294.9283346880416)","((1, 2, 2), (1, 2, 1, 12), 1377.3863696715018)","((2, 1, 1), (1, 2, 1, 12), 1266.702915459387)","((0, 2, 0), (1, 2, 1, 12), 1212.9428151821169)","((0, 0, 1), (0, 2, 1, 12), 1368.184768490689)","((2, 1, 1), (0, 2, 1, 12), 1307.0666192288081)","((0, 2, 2), (1, 2, 1, 12), 1380.3382197226526)"
704,704,"((1, 2, 1), (1, 2, 1, 12), 1369.1241950063934)","((2, 1, 1), (0, 2, 1, 12), 1296.934576289876)","((2, 2, 2), (0, 2, 1, 12), 1390.2114703891982)","((2, 2, 1), (1, 2, 1, 12), 1275.4835753348796)","((2, 0, 0), (1, 2, 1, 12), 1214.0551611036465)","((0, 2, 1), (0, 2, 1, 12), 1369.1641173297996)","((2, 0, 2), (1, 2, 1, 12), 1324.6059416040675)","((1, 2, 1), (0, 2, 1, 12), 1415.0079934424507)"
705,705,"((0, 1, 0), (1, 2, 1, 12), 1377.2443743299768)","((1, 1, 1), (0, 2, 1, 12), 1305.463866459047)","((2, 2, 1), (1, 2, 1, 12), 1396.8025490231853)","((1, 0, 1), (1, 2, 1, 12), 1292.264942638757)","((0, 2, 2), (0, 2, 1, 12), 1220.1614307684536)","((0, 0, 2), (0, 2, 1, 12), 1371.1965573370012)","((2, 0, 2), (0, 2, 1, 12), 1327.674318179884)","((1, 2, 1), (1, 2, 1, 12), 1418.692067062003)"
706,706,"((2, 2, 0), (1, 2, 1, 12), 1377.7594873503017)","((0, 0, 1), (1, 2, 1, 12), 1315.9636452492039)","((2, 2, 2), (1, 2, 1, 12), 1403.0389425489418)","((0, 2, 1), (2, 2, 1, 12), 1292.5434931188486)","((2, 2, 0), (1, 2, 1, 12), 1225.6000748030463)","((2, 2, 0), (1, 2, 1, 12), 1386.79716345628)","((1, 2, 2), (0, 2, 1, 12), 1338.9840900169875)","((2, 2, 1), (0, 2, 1, 12), 1424.8111276027598)"
707,707,"((2, 1, 2), (1, 2, 1, 12), 1378.3211476671138)","((2, 2, 1), (0, 2, 1, 12), 1320.2535947065107)","((2, 1, 0), (0, 2, 1, 12), 1414.6913753389342)","((0, 2, 0), (1, 2, 1, 12), 1295.8361529655942)","((0, 2, 1), (0, 2, 1, 12), 1226.2388068162338)","((1, 0, 1), (1, 2, 1, 12), 1386.873537335185)","((1, 1, 0), (1, 2, 1, 12), 1343.1451181175448)","((2, 2, 0), (1, 2, 1, 12), 1425.668980243016)"
708,708,"((2, 1, 2), (0, 2, 1, 12), 1382.321914580132)","((2, 2, 1), (1, 2, 1, 12), 1320.390565289624)","((0, 1, 1), (0, 2, 1, 12), 1428.537819181097)","((0, 0, 1), (1, 2, 1, 12), 1296.6838101220128)","((1, 2, 0), (1, 2, 1, 12), 1310.7435144802082)","((1, 1, 1), (0, 2, 1, 12), 1395.5527790356416)","((2, 1, 2), (1, 2, 1, 12), 1344.0320746569694)","((2, 2, 1), (1, 2, 1, 12), 1428.7212879353235)"
709,709,"((2, 2, 1), (1, 2, 1, 12), 1383.9798356066744)","((1, 0, 0), (0, 2, 1, 12), 1324.77305549751)","((1, 2, 1), (0, 2, 1, 12), 1433.7216373479175)","((0, 1, 2), (0, 2, 1, 12), 1320.1478709288956)","((1, 2, 0), (0, 2, 1, 12), 1323.3054898641942)","((2, 0, 0), (0, 2, 1, 12), 1399.092839850805)","((1, 1, 2), (1, 2, 1, 12), 1346.8813081745634)","((0, 0, 0), (0, 2, 1, 12), 1435.7833722388705)"
710,710,"((0, 0, 0), (1, 2, 1, 12), 1394.0586507395742)","((0, 1, 0), (1, 2, 1, 12), 1325.6227938690251)","((2, 1, 1), (0, 2, 1, 12), 1436.8097950849)","((1, 0, 1), (0, 2, 1, 12), 1332.088312743066)","((1, 2, 1), (1, 2, 1, 12), 1331.3428508412862)","((0, 1, 1), (1, 2, 1, 12), 1406.6751749082841)","((0, 1, 2), (1, 2, 1, 12), 1351.197200494758)","((2, 0, 2), (1, 2, 1, 12), 1436.3762957452395)"
711,711,"((1, 1, 1), (1, 2, 1, 12), 1401.813645531602)","((2, 1, 0), (1, 2, 1, 12), 1329.7614956327247)","((1, 1, 1), (0, 2, 1, 12), 1437.0478725139944)","((0, 0, 1), (0, 2, 1, 12), 1336.6943230838513)","((2, 0, 0), (0, 2, 1, 12), 1332.130362820019)","((2, 1, 0), (1, 2, 1, 12), 1410.1334416161005)","((2, 0, 0), (1, 2, 1, 12), 1365.8001224771865)","((2, 0, 2), (0, 2, 1, 12), 1440.6315605839645)"
712,712,"((2, 2, 0), (0, 2, 1, 12), 1402.2675307096674)","((1, 0, 1), (0, 2, 1, 12), 1331.9774749810701)","((2, 1, 1), (1, 2, 1, 12), 1438.7792454141434)","((2, 1, 0), (0, 2, 1, 12), 1342.9715270432143)","((1, 2, 1), (0, 2, 1, 12), 1343.2201199966805)","((2, 1, 1), (1, 2, 1, 12), 1418.7905961837541)","((0, 1, 0), (0, 2, 1, 12), 1372.5830873206457)","((0, 2, 0), (0, 2, 1, 12), 1461.04416764805)"
713,713,"((1, 0, 0), (0, 2, 1, 12), 1406.6539012597448)","((2, 0, 0), (0, 2, 1, 12), 1337.4291178324947)","((1, 1, 1), (1, 2, 1, 12), 1439.6943585785896)","((1, 0, 2), (1, 2, 1, 12), 1347.0098339539327)","((2, 2, 0), (0, 2, 1, 12), 1349.811219789109)","((0, 1, 1), (0, 2, 1, 12), 1427.2104709507291)","((2, 1, 2), (0, 2, 1, 12), 1377.776724584164)","((0, 2, 0), (1, 2, 1, 12), 1462.9024954777021)"
714,714,"((0, 1, 2), (1, 2, 1, 12), 1407.9107389621547)","((1, 1, 2), (0, 2, 1, 12), 1341.5782708185052)","((1, 2, 1), (1, 2, 1, 12), 1440.9238324781777)","((2, 1, 2), (0, 2, 1, 12), 1349.9974884817839)","((0, 1, 2), (1, 2, 1, 12), 1386.7698335647688)","((1, 0, 0), (0, 2, 1, 12), 1427.6216983013946)","((1, 1, 0), (0, 2, 1, 12), 1379.953185462208)","((2, 2, 0), (0, 2, 1, 12), 1466.07273907661)"
715,715,"((1, 2, 0), (0, 2, 1, 12), 1407.9681501256232)","((2, 0, 0), (1, 2, 1, 12), 1345.3365763956751)","((0, 2, 0), (1, 2, 1, 12), 1442.3564528459408)","((0, 1, 1), (0, 2, 1, 12), 1364.1635609975403)","((0, 1, 2), (0, 2, 1, 12), 1390.8203330299432)","((0, 1, 2), (1, 2, 1, 12), 1437.8988257420024)","((1, 1, 2), (0, 2, 1, 12), 1380.8796987619603)","((2, 0, 0), (1, 2, 1, 12), 1472.701737754598)"
716,716,"((0, 1, 2), (0, 2, 1, 12), 1412.407401937161)","((2, 1, 2), (0, 2, 1, 12), 1352.716455947141)","((1, 0, 1), (1, 2, 1, 12), 1444.168327225893)","((1, 1, 1), (0, 2, 1, 12), 1365.5533483690983)","((0, 1, 1), (1, 2, 1, 12), 1400.15016481973)","((2, 1, 1), (0, 2, 1, 12), 1439.0669518716309)","((0, 1, 2), (0, 2, 1, 12), 1385.4224667344672)","((2, 0, 0), (0, 2, 1, 12), 1476.2179054921019)"
717,717,"((0, 2, 0), (0, 2, 1, 12), 1412.4109534718368)","((1, 1, 0), (1, 2, 1, 12), 1364.2548456841764)","((2, 2, 0), (1, 2, 1, 12), 1459.5605657392784)","((1, 1, 0), (0, 2, 1, 12), 1375.0928609700557)","((1, 1, 0), (1, 2, 1, 12), 1401.525367875473)","((0, 1, 2), (0, 2, 1, 12), 1456.0818395234744)","((2, 0, 0), (0, 2, 1, 12), 1409.5208757247187)","((1, 0, 1), (1, 2, 1, 12), 1477.4994612083476)"
718,718,"((2, 1, 0), (1, 2, 1, 12), 1423.1559016759365)","((1, 0, 0), (1, 2, 1, 12), 1384.7618794672546)","((1, 0, 1), (0, 2, 1, 12), 1461.3149202206735)","((1, 0, 2), (0, 2, 1, 12), 1385.3378552033075)","((1, 1, 2), (1, 2, 1, 12), 1404.2356033665747)","((0, 1, 0), (0, 2, 1, 12), 1476.8061847221568)","((0, 0, 0), (1, 2, 1, 12), 1432.7861507188309)","((1, 0, 1), (0, 2, 1, 12), 1482.4676727372168)"
719,719,"((1, 2, 0), (1, 2, 1, 12), 1425.8459414187714)","((1, 0, 1), (1, 2, 1, 12), 1390.5296409763491)","((1, 1, 0), (0, 2, 1, 12), 1469.2116351912725)","((2, 1, 1), (0, 2, 1, 12), 1389.100197984263)","((0, 1, 1), (0, 2, 1, 12), 1404.641769620725)","((2, 2, 0), (0, 2, 1, 12), 1486.118893191356)","((0, 0, 0), (0, 2, 1, 12), 1435.6511523336799)","((1, 1, 0), (1, 2, 1, 12), 1534.592871908528)"
720,720,"((1, 0, 0), (1, 2, 1, 12), 1427.334541789282)","((1, 1, 0), (0, 2, 1, 12), 1426.9566153308322)","((1, 1, 0), (1, 2, 1, 12), 1471.6393861156218)","((1, 2, 0), (0, 2, 1, 12), 1405.5578777773812)","((1, 1, 0), (0, 2, 1, 12), 1406.2523632166033)","((1, 0, 1), (0, 2, 1, 12), 1487.0487006161482)","((1, 0, 0), (1, 2, 1, 12), 1438.9820020522918)","((1, 0, 2), (1, 2, 1, 12), 1534.8145138488774)"
721,721,"((0, 2, 0), (1, 2, 1, 12), 1440.6421446937125)","((2, 1, 0), (0, 2, 1, 12), 1432.1252646634432)","((2, 2, 0), (0, 2, 1, 12), 1495.1620275521786)","((2, 0, 0), (0, 2, 1, 12), 1449.9674738498388)","((1, 1, 2), (0, 2, 1, 12), 1408.059986799708)","((1, 1, 2), (1, 2, 1, 12), 1565.1265742439566)","((0, 2, 0), (0, 2, 1, 12), 1441.5042485816018)","((2, 2, 2), (0, 2, 1, 12), 1536.825182182175)"
722,722,"((2, 1, 1), (1, 2, 1, 12), 1442.9855284632513)","((2, 0, 1), (0, 2, 1, 12), 1457.6268493432412)","((2, 0, 0), (1, 2, 1, 12), 1513.3005008933326)","((1, 2, 0), (1, 2, 1, 12), 1453.9531207530288)","((2, 1, 0), (1, 2, 1, 12), 1441.1380497624941)","((1, 1, 2), (0, 2, 1, 12), 1584.6173777351917)","((1, 0, 0), (0, 2, 1, 12), 1443.1473432734701)","((1, 0, 2), (0, 2, 1, 12), 1539.3102706467912)"
723,723,"((1, 1, 1), (0, 2, 1, 12), 1456.196177099846)","((2, 0, 1), (1, 2, 1, 12), 1516.3837706749905)","((0, 2, 2), (0, 2, 1, 12), 1515.3986201457867)","((0, 0, 0), (0, 2, 1, 12), 1460.709762252655)","((0, 1, 0), (1, 2, 1, 12), 1451.212718540004)","((1, 2, 0), (1, 2, 1, 12), 1613.9024670722054)","((0, 0, 1), (1, 2, 1, 12), 1448.199220864209)","((2, 2, 2), (1, 2, 1, 12), 1541.0257963798367)"
